stock,taxa,variable,year,mean,sd,lower,upper,status,U,F,O
Crustacea.1,Crustacea,b_div_bmsy,2018,0.777164876,0.219035759,0.547737135,1.101183802,overfished,0,0,1
Hexanchus.griseus,Hexanchus griseus,b_div_bmsy,2018,0.870188921,0.22000136,0.610131837,1.247784208,fully fished,0,1,0
Myliobatidae,Myliobatidae,b_div_bmsy,2018,0.76260889,0.215722602,0.540806816,1.078583122,overfished,0,0,1
Abramis.brama,Abramis brama,b_div_bmsy,2018,0.659435542,0.225777881,0.463174809,0.955572297,overfished,0,0,1
Sarda.sarda,Sarda sarda,b_div_bmsy,2018,0.73798521,0.215297461,0.518321311,1.027948626,overfished,0,0,1
Squalidae,Squalidae,b_div_bmsy,2018,0.820654586,0.200798374,0.612622172,1.152456261,fully fished,0,1,0
Rajiformes,Rajiformes,b_div_bmsy,2018,0.694282945,0.191381846,0.514052316,0.936715276,overfished,0,0,1
Ex.Mollusca,Ex Mollusca,b_div_bmsy,2018,0.706546326,0.222784681,0.49665999,1.002398701,overfished,0,0,1
Galeus.melastomus,Galeus melastomus,b_div_bmsy,2018,0.859646883,0.222279469,0.606658799,1.230660358,fully fished,0,1,0
Scomberomorus.commerson,Scomberomorus commerson,b_div_bmsy,2018,0.850375726,0.208872514,0.605788955,1.18723467,fully fished,0,1,0
Nephrops.norvegicus,Nephrops norvegicus,b_div_bmsy,2018,0.806509251,0.171228455,0.61638307,1.053201756,fully fished,0,1,0
Alosa.spp,Alosa spp,b_div_bmsy,2018,0.766288357,0.226654612,0.529277583,1.098605397,overfished,0,0,1
Eledone.spp,Eledone spp,b_div_bmsy,2018,0.824113469,0.223479891,0.579801997,1.184711639,fully fished,0,1,0
Sepiidae..Sepiolidae,Sepiidae Sepiolidae,b_div_bmsy,2018,0.651955974,0.164126591,0.506548382,0.849244181,overfished,0,0,1
Octopodidae,Octopodidae,b_div_bmsy,2018,0.905891933,0.224853803,0.630135583,1.274679397,fully fished,0,1,0
Illex.coindetii,Illex coindetii,b_div_bmsy,2018,0.786133564,0.202155973,0.568781518,1.07568068,overfished,0,0,1
